symbol,security_id,exchange_segment,week_start,entry_level,level_52,hi_short2,close_1,ema_fast_prev,ema_fast_len,ema_slow_prev,ema_slow_len,ema_slow_2,rsi_len,rsi_avg_gain,rsi_avg_loss,rsi_prev_close,rsi_1,macd_fast,macd_slow,macd_signal,macd_ema_fast,macd_ema_slow,macd_sig,vol_sma_len,vol_sma_sum_prev,g_ema_fast,g_ema_slow,g_ema_slow_2,g_rsi,g_rsi_1,g_hist,prev_daily_close,prev_daily_open,mcap,logic_version
ARE&M,100,NSE_EQ,2026-09-21,1017.2999877929688,1027.25,1017.2999877929688,796.0,867.1513751359712,20,889.4772261481004,50,893.292623133737,14,11.335653016623638,16.926548986974417,796.0,40.10888116637372,12,26,9,866.9625990756658,868.2714195051321,5.045771765525271,10,39404105.0,867.1513751359712,889.4772261481004,896.5331373671931,40.10888116637372,42.009372006819966,-6.354592194991594,796.0,795.2999877929688,14513.64,3
ARENTERP,181,NSE_EQ,2026-09-21,52.900001525878906,60.790000915527344,52.900001525878906,32.599998474121094,37.54981889392197,20,40.42785481368417,50,40.7473591540745,14,0.6889714549354127,1.1303657398508447,32.599998474121094,37.86936566293615,12,26,9,36.49686984245339,38.2294791651142,-1.3278570355559614,10,645391.0,37.54981889392197,40.42785481368417,41.049700337808645,37.86936566293615,39.002506761585245,-0.40475228710484523,32.599998474121094,34.29999923706055,10.67,3
ARFIN,758700,NSE_EQ,2026-09-21,106.19999694824219,106.19999694824219,106.19999694824219,89.62000274658203,87.00750311433518,20,74.88354317954592,50,74.28205503395262,14,1.7568974994769992,1.4097992128774262,89.62000274658203,55.4804472630015,12,26,9,87.79583059975066,85.32736175483285,3.894793268501063,10,63280198.0,87.00750311433518,74.88354317954592,73.80458775546359,55.4804472630015,51.49823558336098,-1.4263244235832548,89.62000274658203,87.91000366210938,1547.63,3
ARIES,15208,NSE_EQ,2026-09-21,524.75,524.75,524.75,480.70001220703125,401.15896143972935,20,368.40694246792856,50,363.82355186633254,14,11.542558070635346,4.519856465080886,480.70001220703125,71.86066605969746,12,26,9,424.9696455044862,390.7909629580322,18.367945091437967,10,3888856.0,401.15896143972935,368.40694246792856,359.2612476117536,71.86066605969746,71.20767295249148,15.810737455016046,480.70001220703125,476.8500061035156,603.36,3
ARIHANTCAP,3813,NSE_EQ,2026-09-21,84.80000305175781,120.0,84.80000305175781,80.29000091552734,76.02367256984711,20,78.54588981649765,50,78.47470160837398,14,1.4247914845597562,1.118121666202953,80.29000091552734,56.02989170638451,12,26,9,76.87587047321466,76.2297230617872,-0.7256186856199658,10,12896847.0,76.02367256984711,78.54588981649765,78.45326085769537,56.02989170638451,54.37672396515331,1.3717660970474295,80.29000091552734,80.70999908447266,890.93,3
ARIHANTSUP,20159,NSE_EQ,2026-09-21,306.0,465.0,306.0,227.1999969482422,252.29995480651084,20,282.8369948716714,50,285.1078927460971,14,3.839284822085456,6.302090051699616,227.1999969482422,37.85763636457033,12,26,9,245.12833880568064,258.17519144025994,-11.553545933027166,10,820813.0,252.29995480651084,282.8369948716714,287.82862318682584,37.85763636457033,33.776357748788385,-1.4933067015521289,227.1999969482422,231.0,984.43,3
ARIS,757614,NSE_EQ,2026-09-21,159.0,178.3000030517578,159.0,133.3300018310547,127.48305951249151,20,131.79744375161488,50,131.73489036061733,14,4.107426676996782,3.653618865565291,133.3300018310547,52.923625489264175,12,26,9,129.85704312638873,127.06513799631094,1.207218474910852,10,79762404.0,127.48305951249151,131.79744375161488,131.99100837188854,52.923625489264175,49.247557234885456,1.5846866551669416,133.3300018310547,129.60000610351562,1136.4,3
ARKADE,25398,NSE_EQ,2026-09-21,144.5,183.0,144.5,118.8499984741211,126.12788557162949,20,131.72355067768055,50,132.24900178802991,14,1.6564381141177482,2.266758828260436,118.8499984741211,42.22164062744298,12,26,9,126.48918491992413,126.63020737432835,0.09200709160979685,10,15530044.0,126.12788557162949,131.72355067768055,132.66610395165168,42.22164062744298,44.81639298796899,-0.2330295460140191,118.8499984741211,117.0,2272.96,3
ARMANFIN,17263,NSE_EQ,2026-09-21,2158.60009765625,2158.60009765625,2158.60009765625,1961.0,1863.850621651716,20,1727.478742914991,50,1717.94726303397,14,36.757659426315456,25.629790266201706,1961.0,58.91835554663525,12,26,9,1935.2793110414486,1822.3435020065986,101.97605267998047,10,1833129.0,1863.850621651716,1727.478742914991,1705.973679940331,58.91835554663525,62.51877938562224,10.959756354869612,1961.0,1939.699951171875,2049.44,3
AROGRANITE,14557,NSE_EQ,2026-09-21,33.79999923706055,43.0,33.79999923706055,22.549999237060547,25.129708693258976,20,28.200353774629626,50,28.43098049044877,14,0.27727083323700197,0.5208026834894228,22.549999237060547,34.742517753793464,12,26,9,24.57300629333252,25.62506867630743,-1.0177811312115348,10,427149.0,25.129708693258976,28.200353774629626,28.637142993701104,34.742517753793464,37.53051015132361,-0.03428125176337504,22.549999237060547,23.760000228881836,35.61,3
