model,model_label,horizon,symbol,week,signal_date,signal_time,signal_close,entry,qty,invested,bar_low,stop,level_26w,trigger,rsi,macd_hist,exit_date,exit_time,exit,exit_reason,exit_note,bars_held,gross_pnl,costs,pnl,pnl_pct,r_multiple,mfe_pct,mae_pct,btst_tier,btst_day_ret,btst_rank,btst_source,btst_arm,btst_age
A_gated,"A · GATED (full weekly gate, EMA exit)",,WSTCSTPAPR,2026-07-20,2026-07-23,09:30,568.8,568.8,175,99540.0,558.55,558.4382899999999,568.0,cross,64.77174973198598,7.139958290220775,2026-07-23,10:30,568.9,EMA9,,12,17.50000000000398,219.00725,-201.507249999996,-0.202419127988753,0.0096509166923241,2.171237693389605,-0.5889592123769161,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,WSTCSTPAPR,2026-07-20,2026-07-23,09:30,568.8,568.8,175,99540.0,558.55,558.4382899999999,568.0,cross,64.77174973198598,7.139958290220775,2026-07-23,10:30,569.0844,BE,,12,49.77000000000089,219.042747,-169.2727469999991,-0.1700000000000055,0.0274472070729642,2.171237693389605,-0.5889592123769161,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,WSTCSTPAPR,2026-07-27,2026-07-27,09:20,581.8,581.8,171,99487.8,570.85,570.7358300000001,581.15,cross,66.46417614405397,8.025944647054512,2026-07-27,10:25,570.7358300000001,SL,,13,-1891.9730699999789,216.791989623,-2108.7650596229787,-2.121713647301462,-1.0,1.065658301821948,-1.907872121003762,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,ZYDUSWELL,2026-07-20,2026-07-20,09:15,608.55,608.55,164,99802.2,592.3,592.1815399999999,608.0,cross,73.98005126446687,10.689244289805371,2026-07-20,12:35,592.1815399999999,SL,,40,-2684.4274400000045,216.611969816,-2901.0394098160045,-2.909747761071404,-1.0,0.0,-2.88390436282967,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,CNL,2026-07-20,2026-07-24,15:20,1019.9,1019.9,98,99950.2,993.9,948.507,996.0,cross,82.36883510920433,40.40235328293706,2026-07-28,close,1033.4,TIME,2-day time exit,2,1323.0000000000111,221.34574000000003,1101.6542600000112,1.103659182272774,0.1890941688961117,5.917246788900865,-3.6180017648789087,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",intraday,DEEPINDS,2026-07-27,2026-07-29,10:05,546.55,546.55,182,99472.1,542.0,541.8916,543.4,cross,64.55121409355462,4.623113848286531,2026-07-29,10:45,543.5,EMA9,,8,-555.0999999999917,218.22801,-773.3280099999918,-0.7780459244350799,-0.6547312381933733,2.277925166956374,-0.7227152136126458,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",intraday,DEEPINDS,2026-07-27,2026-07-29,10:05,546.55,546.55,182,99472.1,542.0,541.8916,543.4,cross,64.55121409355462,4.623113848286531,2026-07-29,10:40,546.823275,BE,,7,49.73605000000225,218.893329655,-169.15727965499775,-0.1700000000000055,0.0586628456122311,2.277925166956374,-0.6495288628670659,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,DEEPINDS,2026-07-27,2026-07-29,10:05,546.55,546.55,0,0.0,542.0,508.2914999999999,543.4,cross,64.55121409355462,4.623113848286531,,,0.0,NO_FILL,no daily candle after the signal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,JLHL,2026-07-20,2026-07-24,13:35,317.9,317.9,314,99820.6,315.3,295.64699999999993,316.58,cross,73.5605598313311,7.453075705877456,2026-07-28,close,328.3,TIME,2-day time exit,2,3265.600000000011,223.19748000000004,3042.4025200000106,3.051469015413664,0.4673527164876652,5.69361434413338,-1.57282164202579,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,KANPRPLA,2026-07-20,2026-07-24,10:00,228.6,228.6,437,99898.2,224.0,212.598,227.0,cross,64.5136199747638,1.9911374835332565,2026-07-28,close,212.598,SL,,2,-6992.874000000004,212.0838786,-7204.957878600005,-7.220000000000006,-1.0,0.568678915135612,-8.355205599300087,,,,,,
