security_id,symbol,name,exchange_segment,series,type
765020,ANSALBU,ANSAL BUILDWELL LTD.,NSE_EQ,EQ,ES
13598,ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,NSE_EQ,EQ,ES
5194,ANTGRAPHIC,ANTARCTICA LTD,NSE_EQ,EQ,ES
757885,ANTHEM,ANTHEM BIOSCIENCES LTD,NSE_EQ,EQ,ES
28314,ANUHPHR,ANUH PHARMA LIMITED,NSE_EQ,EQ,ES
9014,ANUP,THE ANUP ENGINEERING LTD,NSE_EQ,EQ,ES
2829,ANURAS,ANUPAM RASAYAN INDIA LTD,NSE_EQ,EQ,ES
11491,APARINDS,APAR INDUSTRIES LTD.,NSE_EQ,EQ,ES
20453,APCL,ANJANI PORTLAND CEM LTD,NSE_EQ,EQ,ES
154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,NSE_EQ,EQ,ES
21623,APEX,APEX FROZEN FOODS LIMITED,NSE_EQ,EQ,ES
25780,APLAPOLLO,APL APOLLO TUBES LTD,NSE_EQ,EQ,ES
25328,APLLTD,ALEMBIC PHARMA LTD,NSE_EQ,EQ,ES
1134,APOLLO,APOLLO MICRO SYSTEMS LTD,NSE_EQ,EQ,ES
157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,NSE_EQ,EQ,ES
14361,APOLLOPIPE,APOLLO PIPES LIMITED,NSE_EQ,EQ,ES
163,APOLLOTYRE,APOLLO TYRES LTD,NSE_EQ,EQ,ES
6302,APOLSINHOT,APOLLO SINDOORI HOTEL LTD,NSE_EQ,EQ,ES
764593,APOORVA,APOORVA LEAS F & INV C L,NSE_EQ,EQ,ES
14074,APTECHT,APTECH LIMITED,NSE_EQ,BE,ES
5435,APTUS,APTUS VALUE HSG FIN I LTD,NSE_EQ,EQ,ES
23365,AQYLON,AQYLON NEXUS LIMITED,NSE_EQ,EQ,ES
16795,ARCHIDPLY,ARCHIDPLY IND. LTD,NSE_EQ,EQ,ES
5688,ARCHIES,ARCHIES LTD,NSE_EQ,EQ,ES
764598,ARCL,ARCL ORGANICS LTD.,NSE_EQ,EQ,ES
764480,ARDEE,ARDEE INDUSTRIES LIMITED,NSE_EQ,EQ,ES
100,ARE&M,AMARA RAJA ENERGY MOB LTD,NSE_EQ,EQ,ES
181,ARENTERP,RAJDARSHAN INDUSTRIES LTD,NSE_EQ,EQ,ES
758700,ARFIN,ARFIN INDIA LIMITED,NSE_EQ,EQ,ES
15204,ARIES,ARIES AGRO LTD.,NSE_EQ,EQ,ES
13885,ARIHANT,ARIHANT FOUN & HOU LTD,NSE_EQ,EQ,ES
3813,ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,NSE_EQ,EQ,ES
20159,ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,NSE_EQ,EQ,ES
757614,ARIS,ARISINFRA SOLUTIONS LTD,NSE_EQ,EQ,ES
25398,ARKADE,ARKADE DEVELOPERS LIMITED,NSE_EQ,EQ,ES
17263,ARMANFIN,ARMAN FIN SERV LTD,NSE_EQ,EQ,ES
14557,AROGRANITE,ARO GRANITE IND. LTD.,NSE_EQ,EQ,ES
9264,ARROWGREEN,ARROW GREENTECH LIMITED,NSE_EQ,BE,ES
759956,ARSSBL,ANAND RATHI SH N STK BR L,NSE_EQ,EQ,ES
16913,ARTEMISMED,ARTEMIS MED SERVICE LTD,NSE_EQ,EQ,ES
6156,ARTNIRMAN,ART NIRMAN LIMITED,NSE_EQ,EQ,ES
2814,ARVEE,ARVEE LABORATORIES I LTD,NSE_EQ,EQ,ES
193,ARVIND,ARVIND LIMITED,NSE_EQ,EQ,ES
9111,ARVINDFASN,ARVIND FASHIONS LIMITED,NSE_EQ,EQ,ES
10457,ARVSMART,ARVIND SMARTSPACES LTD,NSE_EQ,EQ,ES
764603,ARYAMAN,ARYAMAN FINANCIAL SERV L,NSE_EQ,EQ,ES
5378,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,NSE_EQ,EQ,ES
25092,ASAHISONG,ASAHI SONGWON COLOR LTD,NSE_EQ,BE,ES
10634,ASAL,AUTOMOTIVE STAMPINGS & AS,NSE_EQ,EQ,ES
17598,ASALCBR,ASSO ALCOHOLS & BREW LTD,NSE_EQ,EQ,ES
203,ASHAPURMIN,ASHAPURA MINECHEM LTD,NSE_EQ,EQ,ES
24403,ASHIANA,ASHIANA HOUSING LTD,NSE_EQ,EQ,ES
762551,ASHIKAG,ASHIKA GLOBAL SEC LTD,NSE_EQ,BE,ES
206,ASHIMASYN,ASHIMA LTD,NSE_EQ,EQ,ES
20182,ASHOKA,ASHOKA BUILDCON LTD,NSE_EQ,EQ,ES
16943,ASHOKAMET,ASHOKA METCAST LIMITED,NSE_EQ,EQ,ES
212,ASHOKLEY,ASHOK LEYLAND LTD,NSE_EQ,EQ,ES
7030,ASIANENE,ASIAN ENERGY SERVICES LTD,NSE_EQ,EQ,ES
18422,ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,NSE_EQ,EQ,ES
236,ASIANPAINT,ASIAN PAINTS LIMITED,NSE_EQ,EQ,ES
14889,ASIANTILES,ASIAN GRANITO IND. LTD.,NSE_EQ,EQ,ES
765025,ASIANTNE,ASIAN TEA & EXPORTS LTD.,NSE_EQ,EQ,ES
20152,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,NSE_EQ,EQ,ES
14069,ASMS,AVIO SMART MRKT STACK LTD,NSE_EQ,BE,ES
17270,ASPINWALL,ASPINWALL & CO LTD,NSE_EQ,EQ,ES
765237,ASSAMENT,ASSAM ENTRADE LIMITED,NSE_EQ,EQ,ES
762553,ASTAR,ASIAN STAR CO. LTD.,NSE_EQ,EQ,ES
17728,ASTEC,ASTEC LIFESCIENCES LTD,NSE_EQ,EQ,ES
1508,ASTERDM,ASTER DM QUALITY CARE LTD,NSE_EQ,EQ,ES
14418,ASTRAL,ASTRAL LIMITED,NSE_EQ,EQ,ES
11618,ASTRAMICRO,ASTRA MICROWAVE LTD,NSE_EQ,EQ,ES
5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,NSE_EQ,EQ,ES
15649,ATALREAL,ATAL REALTECH LIMITED,NSE_EQ,EQ,ES
15404,ATAM,ATAM VALVES LIMITED,NSE_EQ,EQ,ES
6066,ATGL,ADANI TOTAL GAS LIMITED,NSE_EQ,EQ,ES
757645,ATHERENERG,ATHER ENERGY LIMITED,NSE_EQ,EQ,ES
17778,ATL,ALLCARGO TERMINALS LTD,NSE_EQ,EQ,ES
13585,ATLANTAA,ATLANTAA LIMITED,NSE_EQ,EQ,ES
759007,ATLANTAELE,ATLANTA ELECTRICALS LTD,NSE_EQ,EQ,ES
4568,ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,NSE_EQ,EQ,ES
263,ATUL,ATUL LTD,NSE_EQ,EQ,ES
30023,ATULAUTO,ATUL AUTO LIMITED,NSE_EQ,EQ,ES
21238,AUBANK,AU SMALL FINANCE BANK LTD,NSE_EQ,EQ,ES
12022,AURIONPRO,AURIONPRO SOLN LTD,NSE_EQ,EQ,ES
275,AUROPHARMA,AUROBINDO PHARMA LTD,NSE_EQ,EQ,ES
10310,AURUM,AURUM PROPTECH LIMITED,NSE_EQ,EQ,ES
31468,AURUS,AURUS GEM CORP LIMITED,NSE_EQ,EQ,ES
4037,AUSOMENT,AUSOM ENTERPRISE LIMITED,NSE_EQ,EQ,ES
764608,AUSTENG,AUSTIN ENGINEERING CO. L,NSE_EQ,EQ,ES
278,AUTOAXLES,AUTOMOTIVE AXLES LIMITED,NSE_EQ,EQ,ES
14106,AUTOIND,AUTOLINE INDUSTRIES LTD,NSE_EQ,EQ,ES
21406,AVADHSUGAR,AVADH SUG & ENERGY LTD,NSE_EQ,EQ,ES
15058,AVALON,AVALON TECHNOLOGIES LTD,NSE_EQ,EQ,ES
765030,AVANCE,AVANCE TECHNOLOGIES LTD.,NSE_EQ,EQ,ES
24610,AVANTEL,AVANTEL LIMITED,NSE_EQ,EQ,ES
7936,AVANTIFEED,AVANTI FEEDS LIMITED,NSE_EQ,EQ,ES
15638,AVG,AVG LOGISTICS LIMITED,NSE_EQ,BE,ES
25984,AVL,ADITYA VISION LIMITED,NSE_EQ,EQ,ES
13557,AVONMORE,AVONMORE CAP&MGT SERV LTD,NSE_EQ,EQ,ES
8827,AVROIND,AVRO INDIA LIMITED,NSE_EQ,EQ,ES
14008,AVTNPL,AVT NATURAL PRODUCTS LTD,NSE_EQ,EQ,ES
23864,AWFIS,AWFIS SPACE SOLUTIONS LTD,NSE_EQ,EQ,ES
1797,AWHCL,ANTONY WASTE HDG CELL LTD,NSE_EQ,EQ,ES
8110,AWL,AWL AGRI BUSINESS LIMITED,NSE_EQ,EQ,ES
5900,AXISBANK,AXIS BANK LIMITED,NSE_EQ,EQ,ES
9436,AXISCADES,AXISCADES TECH LTD,NSE_EQ,EQ,ES
9902,AXITA,AXITA COTTON LIMITED,NSE_EQ,EQ,ES
764613,AXTEL,AXTEL INDUSTRIES LTD.,NSE_EQ,EQ,ES
760981,AYE,AYE FINANCE LIMITED,NSE_EQ,EQ,ES
10285,AYMSYNTEX,AYM SYNTEX LIMITED,NSE_EQ,EQ,ES
20905,AZAD,AZAD ENGINEERING LIMITED,NSE_EQ,EQ,ES
765035,AZADIND,AZAD INDIA MOBILITY LTD.,NSE_EQ,EQ,ES
17735,BAFNAPH,BAFNA PHARMACEUTICALS LTD,NSE_EQ,BE,ES
11226,BAGFILMS,B.A.G FILMS AND MEDIA LTD,NSE_EQ,EQ,ES
13794,BAIDFIN,BAID FINSERV LIMITED,NSE_EQ,EQ,ES
16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,NSE_EQ,EQ,ES
19531,BAJAJCON,BAJAJ CONSUMER CARE LTD,NSE_EQ,EQ,ES
15034,BAJAJELEC,BAJAJ ELECT.LTD,NSE_EQ,EQ,ES
16675,BAJAJFINSV,BAJAJ FINSERV LTD.,NSE_EQ,EQ,ES
6863,BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,NSE_EQ,EQ,ES
25270,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,NSE_EQ,EQ,ES
308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,NSE_EQ,EQ,ES
305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,NSE_EQ,EQ,ES
29678,BAJAJINDEF,INDEF MANUFACTURING LTD,NSE_EQ,EQ,ES
762563,BAJAJST,BAJAJ STEEL INDS. LTD.,NSE_EQ,EQ,ES
20531,BAJEL,BAJEL PROJECTS LIMITED,NSE_EQ,EQ,ES
317,BAJFINANCE,BAJAJ FINANCE LIMITED,NSE_EQ,EQ,ES
25203,BALAJEE,SHREE TIRUPATI BALAJEE L,NSE_EQ,EQ,ES
9158,BALAJITELE,BALAJI TELEFILMS LIMITED.,NSE_EQ,EQ,ES
14501,BALAMINES,BALAJI AMINES LIMITED,NSE_EQ,EQ,ES
11309,BALAXI,BALAXI PHARMA LTD,NSE_EQ,EQ,ES
10181,BALKRISHNA,BALKRISHNA PAPER MILLS L,NSE_EQ,EQ,ES
