symbol,ltp,level,which,level_c,level_d,mcap_cr,level_52,pct,gap,score,max_score,failing,eligible,bucket,px,atr_pct,turnover_cr,ret_12m,ret_3m,ret_1m,dist_50dma,dist_200dma,dma200_slope,base_tight,base_depth_pct,spike_level,screened_ok,pre_score,pre_passed,pre_max,btst_ready,gate_failed,brk_score
EMCURE,1995.2,1999.0,D,2009.2,1999.0,37402.79,2009.2,-0.1900950475237596,0.1900950475237596,8,8,,True,SCREENED,1995.2,2.9123467751174243,29.387452485931398,39.14498682119088,20.410380205190105,9.964725151738495,9.256343592575057,25.894781064148088,3.713981631810448,3.462673825994304,-30.91545772886444,2.656641604010024,True,3.0,"dist200>=25,200slope>=2,depth>=-45",8.0,False,atr<3%,
COFORGE,1810.0,1813.9,C,1813.9,1764.9,75814.78,1989.7,-0.2150063399305414,0.2150063399305414,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
RAINBOW,1538.6,1542.0,D,1610.0,1542.0,15624.94,1610.0,-0.2204928664072692,0.2204928664072692,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
ALIVUS,1374.5,1377.9,C,1377.9,1193.9,16712.23,1377.9,-0.24675230423108285,0.24675230423108285,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
POLYMED,1772.4,1777.0,C+D,1777.0,1777.0,17639.64,2144.9,-0.25886325267303933,0.25886325267303933,5,8,"c04,c06,c07",True,WATCH,1772.4,3.1764856347048593,21.235567776787107,-10.719320794172793,10.934471688503633,6.239881803336189,9.954191357519715,10.475542098840496,-1.489171996282046,4.115278974096339,-33.48339898705683,2.479012868036068,True,1.0,depth>=-45,8.0,False,,
NESTLEIND,1528.6,1532.6,D,1553.0,1532.6,294933.95,1553.0,-0.26099438862064467,0.26099438862064467,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
THOMASCOTT,349.05,350.0,C+D,350.0,350.0,498.34,459.8,-0.2714285714285682,0.2714285714285682,4,8,"c04,c05,c06,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
KHAITANLTD,150.49,150.96,D,162.4,150.96,74.28,162.4,-0.3113407525172223,0.3113407525172223,6,8,"c03,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
CONFIPET,82.74,83.0,D,84.79,83.0,2781.15,84.79,-0.31325301204819894,0.31325301204819894,7,8,c11,True,WATCH,82.74,5.008806580152584,21.518659072831383,64.42766395427941,32.29932649306602,8.227604058658411,10.925505167973615,66.31590344904137,7.615714047730626,6.8604516577054815,-66.19277172778027,2.3696682036039585,True,4.0,"ret12m>=40,dist200>=25,200slope>=2,px<=500",8.0,True,,
UNOMINDA,1288.0,1292.1,C,1292.1,1255.0,74119.28,1382.0,-0.31731290147820673,0.31731290147820673,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
ASIANENE,402.7,404.0,D,420.0,404.0,1810.29,420.0,-0.32178217821782457,0.32178217821782457,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
BOSCHLTD,43505.0,43650.0,C,43650.0,42985.0,126565.07,43650.0,-0.3321878579610538,0.3321878579610538,8,8,,True,SCREENED,43505.0,2.4537409493161704,117.598883375,5.812963638574731,19.7989811372711,4.041611861772099,7.644610717696709,17.376307010337367,0.844873452635464,2.6367868483544363,-34.45589919816724,1.6298020954598424,True,1.0,depth>=-45,8.0,False,atr<3%,
LMW,17635.0,17699.0,C+D,17699.0,17699.0,18750.95,17699.0,-0.3616023504152777,0.3616023504152777,8,8,,True,WATCH,17635.0,3.0600672364210784,8.055102875,17.496168965287495,22.041522491349475,9.303334572951538,9.815452749776444,16.717083019368694,0.9351535152179125,3.1011868708844053,-32.65156223515453,4.375774016630296,True,2.0,"depth>=-45,spike>=3",8.0,False,,
HAPPYFORGE,1926.0,1934.1,C,1934.1,1688.2,18131.97,1934.1,-0.41879944160073984,0.41879944160073984,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
FOSECOIND,5571.0,5595.0,C+D,5595.0,5595.0,4204.89,6846.0,-0.42895442359249336,0.42895442359249336,8,8,,True,FIRED,5571.0,2.9733056388952996,1.5195130300000002,6.043589987627307,2.3704520396912843,6.509893891597351,8.796566920034433,11.159021034955474,-1.0855596262432043,3.6723534693679194,-23.145665773011615,1.361709802506983,True,,,,,,1.0
FEDERALBNK,358.35,359.9,D,371.7,359.9,87605.49,371.7,-0.4306751875520852,0.4306751875520852,7,8,c07,True,SCREENED,358.35,1.9344624933350274,254.24428950609408,82.794333948464,27.95929856098254,8.640289031112026,8.120421717580651,25.321806750770072,5.734837730489306,2.3710923824482673,-29.61933785724984,3.2786936678695255,True,6.0,"ret12m>=40,dist200>=25,200slope>=2,depth>=-45,spike>=3,px<=500",8.0,False,atr<3%,
RBLBANK,391.0,392.7,C,392.7,383.45,60277.62,392.7,-0.43290043290043,0.43290043290043,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
ETHOSLTD,2833.1,2846.0,D,3090.4,2846.0,7658.77,3245.9,-0.4532677442023925,0.4532677442023925,7,8,c04,True,WATCH,2833.1,4.748962765814959,37.33507142762207,2.9170281076556615,21.124412141941008,6.949792374480923,11.914149911625117,9.271407865380432,0.06541825835062465,3.950353166487387,-32.557975248978835,6.9342526762543155,True,2.0,"depth>=-45,spike>=3",8.0,False,,
SUDARSCHEM,1124.3,1129.9,D,1157.0,1129.9,8877.36,1603.0,-0.49561908133464344,0.49561908133464344,6,8,"c03,c04",False,OTHER,,,,,,,,,,,,,,,,,,,
MEDANTA,1476.2,1483.7,C,1483.7,1438.0,39668.32,1483.7,-0.5054930241962661,0.5054930241962661,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,5860.0,5890.0,D,5845.0,5890.0,117292.14,6388.5,-0.5093378607809848,0.5093378607809848,8,8,,True,FIRED,5860.0,2.7167221210689907,426.49095819906495,30.952649844319357,15.422493598581832,18.333633901573275,16.298500362870747,8.575389876151629,-0.5256472837112169,2.516042823004049,-20.687606112054326,1.5055603079555224,True,,,,,,0.0
UNIMECH,1452.3,1459.9,C,1459.9,1323.0,7382.82,1459.9,-0.5205836016165584,0.5205836016165584,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
SUBEXLTD,13.89,13.97,D,14.3,13.97,777.85,14.58,-0.5726556907659275,0.5726556907659275,5,8,"c04,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
SIEMENS,3914.3,3937.3,D,4073.8,3937.3,140321.28,4073.8,-0.5841566555761563,0.5841566555761563,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
FIEMIND,2539.3,2555.3,D,2604.9,2555.3,6702.39,2604.9,-0.626149571478887,0.626149571478887,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,586.25,590.0,D,601.8,590.0,3883.08,601.8,-0.6355932203389831,0.6355932203389831,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
RRKABEL,2756.9,2775.0,D,2815.0,2775.0,31164.61,2815.0,-0.652252252252249,0.652252252252249,8,8,,True,WATCH,2756.9,3.996466009959426,200.946667482771,117.55840484767126,40.852190835565125,23.86665141221924,16.634937113110727,61.25008781790662,8.235313644983332,4.004649612847859,-53.82702526745496,0.7516105941302698,True,5.0,"ret12m>=40,ret1m>=10,dist200>=25,dist50>=12,200slope>=2",8.0,False,,
VEEDOL,1524.6,1534.9,C+D,1534.9,1534.9,2574.74,2035.0,-0.6710534888266455,0.6710534888266455,5,8,"c04,c05,c06",False,OTHER,,,,,,,,,,,,,,,,,,,
UDS,210.54,212.0,D,213.9,212.0,1417.2,266.2,-0.6886792452830226,0.6886792452830226,7,8,c04,True,WATCH,210.54,4.207886642528322,6.814799699683456,-28.03281190051029,21.967330526842808,5.687461926752757,10.060722967975554,19.029884682906694,-2.6546804336068486,4.618539111171247,-40.99056675749006,0.896223536077545,True,2.0,"depth>=-45,px<=500",8.0,False,,
BRIGADE,607.7,612.0,C+D,612.0,612.0,19855.11,802.01,-0.7026143790849598,0.7026143790849598,5,8,"c04,c05,c06",False,OTHER,,,,,,,,,,,,,,,,,,,
FILATEX,84.78,85.38,C,85.38,77.54,3711.11,85.38,-0.7027406886858683,0.7027406886858683,6,8,"c03,c11",False,OTHER,,,,,,,,,,,,,,,,,,,
CONCORDBIO,1419.0,1429.4,D,1469.6,1429.4,14829.35,1801.9,-0.7275780047572471,0.7275780047572471,5,8,"c04,c06,c07",True,WATCH,1419.0,3.7264669624373927,20.77250539789612,-14.171659221458267,24.473684210526315,4.978919232021739,8.241454524044102,12.653559416869896,-1.9744961444483677,4.298911362053573,-30.950048971596477,2.268613471533576,True,1.0,depth>=-45,8.0,False,,
VMART,818.4,824.45,C+D,824.45,824.45,6428.98,888.0,-0.7338225483655852,0.7338225483655852,8,8,,True,WATCH,818.4,3.7795872415948257,12.392595163666686,4.561132903563281,25.801247460855812,5.213090658454678,8.66909559322966,18.945535212028574,-0.4007586898530646,3.966753694523769,-44.45994373261152,0.5672145015006791,True,1.0,depth>=-45,8.0,False,,
OFSS,11890.0,11979.0,C+D,11979.0,11979.0,102164.29,11979.0,-0.742966858669338,0.742966858669338,8,8,,True,WATCH,11890.0,3.9589090472185515,495.54725796,39.60314664788071,33.52799146498961,1.225949259322312,10.447558774542998,37.47893805903211,3.182134069047793,3.154268711246678,-47.95475415310126,0.6807866868381307,True,2.0,"dist200>=25,200slope>=2",8.0,False,,
