pre,close,day_ret,close_pos,rvol,partial_frac,vol_today,vma50,vma_bars,range_pct,gap_pct,atr_pct,turnover_cr,ret_12m,dist_200dma,base_from_high,ret_3m_prior,ext_pct,age,fresh,tier,reject,symbol,level,mcap_cr,conviction,conv_why,rank
5,351.25,0.07122507122507837,1.0,0.8016568414374091,1.0,20368.0,25407.38,50,0.0711743772241993,1.916378112799677,1.6410780316630655,0.5161531436764526,64.79778596502103,56.619811954441055,-1.5578139522509193,36.883937019774194,0.40017150207229957,,,,not tradeable,LOKESHMACH,349.85,709.19,,,
2,393.5,1.5221862238331996,1.0,0.7282115076709903,1.0,11660555.0,16012593.7,50,1.7789072426937738,-0.8061404725487886,1.7190060396552802,519.3028993391675,-1.7723429843585659,-2.2124830237515325,-13.779790495350374,3.922872340425543,-9.519429753966424,,,,not tradeable,KOTAKBANK,434.9,390147.08,,,
1,4080.0,0.8154188287620379,1.0,0.5300186147992869,1.0,1082548.0,2042471.66,50,1.328431372549015,-0.2218934911242587,1.5245104023054532,726.0482395794409,12.446260329919557,2.6044298960135936,-8.64864864864865,3.5803654278474317,-8.108108108108103,,,,not tradeable,LT,4440.0,558930.25,,,
2,39.68000030517578,1.7435905260917428,1.0,0.9324888615722263,1.0,21210.0,22745.58,50,6.5272184608273385,-0.1024613590913992,5.765769459288914,0.07294390876052857,37.20608644708108,23.176641745406457,-11.05034983268871,6.841817015219753,-9.59216152842155,,,,not tradeable,NGIL,43.89,67.63,,,
2,863.5,0.0869313242538361,1.0,0.6128456106638189,1.0,1304233.0,2128159.16,50,1.2912593415243196,0.08700696055683466,2.168913484753702,157.90379201712432,20.592139476394134,10.724895464061145,-3.0480234315694354,3.855421686746996,-2.879316162411427,,,,not tradeable,MARICO,889.1,110645.37,,,
7,115.0199966430664,0.3927703146031414,0.9999925401526373,0.7123804758806411,1.0,111173.0,156058.46,50,0.3912365834718567,-1.993158084381097,2.0996352295722063,1.0190402579711915,57.69124320425354,75.91338100792291,-0.6459307433076433,119.11903443180888,-2.243756040229128,,,,not tradeable,NRL,117.66,794.34,,,
2,61.0,0.3289486273834408,0.9836061985641744,0.31594320776494517,1.0,11327.0,35851.38,50,2.000002001152664,0.11526378289454797,4.379391279376922,0.2202773787003708,-33.70285992420358,8.787245185762105,-37.84032606018523,-2.4417678036364188,-7.57575757575758,,,,not tradeable,OILCOUNTUB,66.0,311.5,,,
6,481.45001220703125,2.8739342322716244,1.0,0.983074059163372,1.0,17142.0,17437.14,50,3.4167643140400377,2.060846681626738,4.745338167609527,0.4423163800131226,86.24758692728483,33.544792908036044,-2.880441867907202,26.461660252168116,3.984883846011078,,,,not tradeable,PANACHE,463.0,742.11,,,
3,3.1700000762939453,0.6349200101906982,1.0,1.9294381711135198,1.0,5089283.0,2637702.04,50,1.5772930451572298,4.304639578210678,3.2221722224891614,0.5609427944044555,-53.10650933486297,-20.64414922990333,-73.27433690308534,17.054266288055487,1.277957709071731,,,,not tradeable,SADHNANIQ,3.13,939.81,,,
1,1685.0,1.622340317842208,0.9877293216415525,0.8238434410636257,1.0,879779.0,1067895.86,50,1.9347195497959966,-0.11445930205196131,2.2539211530309458,209.09180384579835,12.423268288352407,14.203336668431055,-1.5654663206753239,14.246386785960086,-0.08301707779886369,,,,not tradeable,PIDILITIND,1686.4,171468.78,,,
6,1105.050048828125,19.07866905475486,1.0,20.923416921202055,1.0,10974156.0,524491.58,50,16.632735234303627,0.7709822345216111,4.2283158263344,105.49229568499848,105.13273135093901,99.74568356673556,0.0,60.50545087826797,19.996747619516242,1.0,False,,base was +0.0% off its 252d high (already at highs),SBCL,920.9,6023.29,,,
7,270.6700134277344,2.6081370256451075,1.0,2.7519867283868034,1.0,37026.0,13454.28,50,3.8090765746847417,2.327475775289578,5.141474526821647,0.484652162109909,163.29767061529878,86.80405270309919,0.0,78.93384843438287,4.996320038688218,,,,not tradeable,UEL,257.79,3666.11,,,
3,18820.0,0.679398705397749,1.0,0.311078822379659,1.0,42545.0,136765.98,50,1.8650371944739639,0.2305630026809613,2.3823440109306206,159.407583105,31.00375887512181,25.16006622443887,-2.798770000521189,19.66634584536413,-1.9127534267993962,,,,not tradeable,SOLARINDS,19187.0,169682.05,,,
6,1693.4000244140625,7.859874166500802,1.0,8.301648830610011,1.0,1906776.0,229686.42,50,11.32042461783465,11.25283831651609,5.096678505956528,33.393187569398805,134.54293966953776,83.64841831153807,-4.325427039194918,35.666219709204604,14.80678131620763,0.0,True,B,,UNIVCABLES,1475.0,5735.15,3.0,"['atr>=5%', 'day>=+6%', 'trend not exhausted']",1.0
2,169.97000122070312,3.0121219519412934,0.994000244140625,0.06545991275381513,1.0,259.0,3956.62,50,2.941695572213114,-1.8149378139662664,3.7960480917773722,0.05946890915023803,11.026197195508459,8.441768235827185,-13.01759539013968,9.279493032732478,-5.514480393182975,,,,not tradeable,WIPL,179.89,188.66,,,
5,238.16000366210938,0.4894530219870852,1.0,27.406789092932666,1.0,9850.0,359.4,50,5.000841232353501,9.463768885051227,3.5792258278962903,0.01770072328956604,8.254547119140621,13.011295561191428,-38.43025785162668,5.5374121122731434,-1.1743210663889059,,,,not tradeable,ZENITHEXPO,240.99,128.49,,,
